"SiO2";"Al2O3";"Fe2O3";"FeO";"CaO";"MgO";"Na2O";"K2O";"MnO";"TiO2";"P2O5";"NiO";"CaF2";"SO3";"Cr2O3";"V2O5";"T";"N"
0.709430120843096;0;0;0;0.290569879156904;0;0;0;0;0;0;0;0;0;0;0;1973;1.36
0.709430120843096;0;0;0;0.290569879156904;0;0;0;0;0;0;0;0;0;0;0;2023;1.04
0.709430120843096;0;0;0;0.290569879156904;0;0;0;0;0;0;0;0;0;0;0;2073;0.85
0.669447315185645;0;0;0;0.330552684814355;0;0;0;0;0;0;0;0;0;0;0;1923;1
0.669447315185645;0;0;0;0.330552684814355;0;0;0;0;0;0;0;0;0;0;0;1973;0.78
0.669447315185645;0;0;0;0.330552684814355;0;0;0;0;0;0;0;0;0;0;0;2023;0.605
0.669447315185645;0;0;0;0.330552684814355;0;0;0;0;0;0;0;0;0;0;0;2073;0.45
0.628256583490753;0;0;0;0.371743416509247;0;0;0;0;0;0;0;0;0;0;0;1723;2.11
0.628256583490753;0;0;0;0.371743416509247;0;0;0;0;0;0;0;0;0;0;0;1773;1.4
0.628256583490753;0;0;0;0.371743416509247;0;0;0;0;0;0;0;0;0;0;0;1823;0.98
0.628256583490753;0;0;0;0.371743416509247;0;0;0;0;0;0;0;0;0;0;0;1873;0.71
0.628256583490753;0;0;0;0.371743416509247;0;0;0;0;0;0;0;0;0;0;0;1923;0.525
0.628256583490753;0;0;0;0.371743416509247;0;0;0;0;0;0;0;0;0;0;0;1973;0.392
0.628256583490753;0;0;0;0.371743416509247;0;0;0;0;0;0;0;0;0;0;0;2023;0.31
0.628256583490753;0;0;0;0.371743416509247;0;0;0;0;0;0;0;0;0;0;0;2073;0.25
0.600664243996551;0;0;0;0.399335756003449;0;0;0;0;0;0;0;0;0;0;0;1773;0.935
0.600664243996551;0;0;0;0.399335756003449;0;0;0;0;0;0;0;0;0;0;0;1823;0.648
0.600664243996551;0;0;0;0.399335756003449;0;0;0;0;0;0;0;0;0;0;0;1873;0.468
0.600664243996551;0;0;0;0.399335756003449;0;0;0;0;0;0;0;0;0;0;0;1923;0.357
0.600664243996551;0;0;0;0.399335756003449;0;0;0;0;0;0;0;0;0;0;0;1973;0.275
0.600664243996551;0;0;0;0.399335756003449;0;0;0;0;0;0;0;0;0;0;0;2023;0.216
0.600664243996551;0;0;0;0.399335756003449;0;0;0;0;0;0;0;0;0;0;0;2073;0.18
0.580890450422604;0;0;0;0.419109549577397;0;0;0;0;0;0;0;0;0;0;0;1773;0.765
0.580890450422604;0;0;0;0.419109549577397;0;0;0;0;0;0;0;0;0;0;0;1823;0.56
0.580890450422604;0;0;0;0.419109549577397;0;0;0;0;0;0;0;0;0;0;0;1873;0.405
0.580890450422604;0;0;0;0.419109549577397;0;0;0;0;0;0;0;0;0;0;0;1923;0.295
0.580890450422604;0;0;0;0.419109549577397;0;0;0;0;0;0;0;0;0;0;0;1973;0.235
0.580890450422604;0;0;0;0.419109549577397;0;0;0;0;0;0;0;0;0;0;0;2023;0.195
0.580890450422604;0;0;0;0.419109549577397;0;0;0;0;0;0;0;0;0;0;0;2073;0.15
0.53022050918047;0;0;0;0.46977949081953;0;0;0;0;0;0;0;0;0;0;0;1773;0.435
0.53022050918047;0;0;0;0.46977949081953;0;0;0;0;0;0;0;0;0;0;0;1823;0.317
0.53022050918047;0;0;0;0.46977949081953;0;0;0;0;0;0;0;0;0;0;0;1873;0.241
0.53022050918047;0;0;0;0.46977949081953;0;0;0;0;0;0;0;0;0;0;0;1923;0.19
0.53022050918047;0;0;0;0.46977949081953;0;0;0;0;0;0;0;0;0;0;0;1973;0.15
0.53022050918047;0;0;0;0.46977949081953;0;0;0;0;0;0;0;0;0;0;0;2023;0.12
0.53022050918047;0;0;0;0.46977949081953;0;0;0;0;0;0;0;0;0;0;0;2073;0.099
0.52024342341762;0;0;0;0.47975657658238;0;0;0;0;0;0;0;0;0;0;0;1823;0.288
0.52024342341762;0;0;0;0.47975657658238;0;0;0;0;0;0;0;0;0;0;0;1873;0.218
0.52024342341762;0;0;0;0.47975657658238;0;0;0;0;0;0;0;0;0;0;0;1923;0.168
0.52024342341762;0;0;0;0.47975657658238;0;0;0;0;0;0;0;0;0;0;0;1973;0.133
0.52024342341762;0;0;0;0.47975657658238;0;0;0;0;0;0;0;0;0;0;0;2023;0.106
0.52024342341762;0;0;0;0.47975657658238;0;0;0;0;0;0;0;0;0;0;0;2073;0.088
0.510252564529963;0;0;0;0.489747435470037;0;0;0;0;0;0;0;0;0;0;0;1823;0.27
